"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	435	""	""	""
"1986"	-1451	""	""	""
"1987"	-580	""	""	""
"1988"	-957	""	""	""
"1989"	345	""	""	""
"1990"	1534	""	""	""
"1991"	2346	""	""	""
"1992"	1065	""	""	""
"1993"	1298	""	""	""
"1994"	104	""	""	""
"1995"	-170	""	""	""
"1996"	-862	""	""	""
"1997"	-1510	""	""	""
"1998"	-1410	""	""	""
"1999"	-1268	""	""	""
"2000"	-844	""	""	""
"2001"	-367	""	""	""
"2002"	1386	""	""	""
"2003"	972	""	""	""
"2004"	784	""	""	""
"2005"	-44	""	""	""
"2006"	392	""	""	""
"2007"	559	""	""	""
"2008"	2034	""	""	""
"2009"	1666	""	""	""
"2010"	263	""	""	""
"2011"	1668	""	""	""
"2012"	1738	""	""	""
"2013"	1898	""	""	""
"2014"	793	""	""	""
"2015"	712	""	""	""
"2016"	902	""	""	""
"2017"	578	""	""	""
"2018"	688	""	""	""
"2019"	1214	""	""	""
"2020"	956	""	""	""
"2021"	-998	""	""	""
"2022"	2713	""	""	""
"2023"	1353	""	""	""
"2024"	1133	""	""	""
"2025"	2548	""	""	""
"2026"	""	1816	1170	-56
"2027"	""	1925	1312	71
"2028"	""	1912	1339	117
"2029"	""	1871	1338	154
"2030"	""	1818	1314	185
"2031"	""	1762	1278	203
"2032"	""	1701	1236	209
"2033"	""	1645	1191	202
"2034"	""	1586	1143	187
"2035"	""	1532	1105	164
"2036"	""	1486	1069	144
"2037"	""	1446	1036	119
"2038"	""	1416	1006	99
"2039"	""	1399	980	82
"2040"	""	1386	954	72
"2041"	""	1386	932	64
"2042"	""	1392	916	67
"2043"	""	1397	901	70
"2044"	""	1401	891	73
"2045"	""	1407	887	81
"2046"	""	1412	887	94
"2047"	""	1415	890	104
"2048"	""	1415	895	115
"2049"	""	1413	897	124
"2050"	""	1409	900	132

