"Jahr"	"PW pro Haushalt Pestalozzi"	"Motorisierungsgrad Pestalozzi"	"PW pro Haushalt Kannenfeld"	"Motorisierungsgrad Kannenfeld"	"PW pro Haushalt Landskron"	"Motorisierungsgrad Landskron"	"PW pro Haushalt Lysbüchel"	"Motorisierungsgrad Lysbüchel"	"PW pro Haushalt Friedmatt"	"Motorisierungsgrad Friedmatt"	"PW pro Haushalt Basel"	"Motorisierungsgrad Basel"
2021	0.36590	197.573	0.41496	209.736	0.37036	193.266	0.45110	205.953	0.57760	230.284	0.45968	233.759
2022	0.34759	187.320	0.40676	201.318	0.36189	186.739	0.39072	175.958	0.55291	219.175	0.45142	227.295
2023	0.33218	177.860	0.41079	204.229	0.35599	178.571	0.36798	164.543	0.57434	225.040	0.44616	224.190
2024	0.32726	175.415	0.40577	204.039	0.35546	179.127	0.38021	169.770	0.56583	223.120	0.44214	223.174

