"Alter"	"Schweiz"	"Ausland"
"18-19"	0.7	1.5
"20-24"	2.2	2.1
"25-29"	2.6	1.1
"30-34"	3.6	0.9
"35-39"	5.1	1.4
"40-44"	6.5	2.1
"45-49"	8.2	3.8
"50-54"	11.4	6.2
"55-59"	13.8	10.6
"60-64"	15.4	18.0

