"JahrBezirk"	"Parkanlage/Spielplatz"	"Gartenanlage"	"Sportanlage humusiert"	"Gewässervorland humusiert"	"Übrige humusierte"
"2012: Klybeck"	24917.94	63872.24	4509.75		10653.18
"2012: Kleinhüningen"	4885.19	52143.87		1044.73	56350.54
"."					
"2013: Klybeck"	23479.09	67561.80			10652.98
"2013: Kleinhüningen"	4885.17	52141.35		1044.72	131846.54
".."					
"2014: Klybeck"	23360.07	72794.56			12076.01
"2014: Kleinhüningen"	4885.17	52136.95		1096.83	131978.27
"..."					
"2015: Klybeck"	23360.07	72794.57			12377.02
"2015: Kleinhüningen"	4885.17	51408.34		1096.83	132151.08
"...."					
"2016: Klybeck"	23360.07	72459.03			12934.36
"2016: Kleinhüningen"	4885.17	51279.59		1096.83	132151.08
"....."					
"2017: Klybeck"	23360.07	73504.96			12934.36
"2017: Kleinhüningen"	4885.17	51196.63		1096.83	229073.60
"......"					
"2018: Klybeck"	23360.06	74108.43			12934.41
"2018: Kleinhüningen"	4885.17	49525.70		1096.83	229073.56
"......."					
"2019: Klybeck"	23407.07	73958.92			16207.11
"2019: Kleinhüningen"	4885.17	50251.78		1096.83	230496.40
"........"					
"2020: Klybeck"	23407.07	73835.19			16207.11
"2020: Kleinhüningen"	4885.17	52304.67		1096.83	232980.25
"........."					
"2021: Klybeck"	23407.07	72193.85			18573.18
"2021: Kleinhüningen"	4885.17	53543.57		1096.83	234072.17
".........."					
"2022: Klybeck"	23407.07	72934.78			18573.18
"2022: Kleinhüningen"	4885.60	53207.62		1096.83	234273.39
"..........."					
"2023: Klybeck"	23407.07	73148.34			18573.20
"2023: Kleinhüningen"	4885.60	53199.71		1139.21	196787.55
"............"					
"2024: Klybeck"	23448.23	79532.51			18544.33
"2024: Kleinhüningen"	4885.60	53362.54		1139.21	197523.79

