Jahr	Zahlfälle	Personen
2013	7627	11793
2014	7548	11617
2015	7628	11592
2016	7962	12004
2017	8045	12165
2018	7809	11920
2019	7524	11345
2020	7380	10944
2021	6839	10117
2022	6380	9412
2023	6221	9119
