"Jahr"	"BS"	"BL"	"AG"	"ZH"
2011	145498	113476	250340	744295
2012	146102	112878	254413	751132
2013	148916	114481	257604	759398
2014	150866	116700	260480	769834
2015	150097	117116	260988	774980
2016	149965	116606	264364	782621
2017	149408	117082	265467	790564
2018	149786	118293	267068	807206
2019	152463	119702	269855	818968
2020	148633	119125	266889	821032
2021	151439	120822	269423	837869

