"Alter"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"65 Jahre u.m."	2061.254074	3839.545926
"40-64 Jahre"	11817.479091	14714.747415
"25-39 Jahre"	10631.548397	12484.425097
"15-24 Jahre"	3154.720548	1807.279452

