JahrBezirk	Einpersonenhaushalte	Familienhaushalte	Andere Haushalte
2014: Messe	1016	899	337
2014: Erlenmatt	115	119	36
.			
2015: Messe	1018	879	353
2015: Erlenmatt	322	266	113
..			
2016: Messe	991	896	384
2016: Erlenmatt	364	330	143
...			
2017: Messe	1015	883	352
2017: Erlenmatt	375	369	124
....			
2018: Messe	1066	872	358
2018: Erlenmatt	389	410	140
.....			
2019: Messe	1087	887	365
2019: Erlenmatt	552	516	180
......			
2020: Messe	1069	878	351
2020: Erlenmatt	526	556	199
.......			
2021: Messe	1089	872	351
2021: Erlenmatt	544	557	183
........			
2022: Messe	1115	864	360
2022: Erlenmatt	541	566	176
.........			
2023: Messe	1120	836	380
2023: Erlenmatt	618	583	154
