Jahr	Logiernächte Inland	Logiernächte Ausland				
1935	144458	159875				
1936	126627	155330				
1937	126444	208288				
1938	132286	206560						
1939	119853	143927				
1940	108408	22006				
1941	128598	23387				
1942	137575	22063				
1943	167800	12488				
1944	199119	10429				
1945	245185	112363				
1946	262531	220594				
1947	256566	263129				
1948	247675	284395				
1949	215866	247185				
1950	199173	255686				
1951	202517	274094				
1952	208809	289105				
1953	195539	308307				
1954	181608	307449				
1955	178448	319262				
1956	187856	323607				
1957	184982	331893				
1958	189665	349797				
1959	199831	377690				
1960	216490	411171				
1961	222484	419419				
1962	232004	450531				
1963	236026	438379				
1964	235263	457656				
1965	229431	449207				
1966	223542	473009				
1967	217767	464123				
1968	224786	454131				
1969	235478	493017				
1970	239309	501765				
1971	249488	503214				
1972	232436	505318				
1973	215356	465277				
1974	212121	435214				
1975	194202	413803				
1976	178718	438118				
1977	205916	458937				
1978	191039	459542				
1979	214724	445778				
1980	234830	489953				
1981	214002	500015				
1982	192171	484955				
1983	214162	467652				
1984	189431	499721				
1985	208129	461759				
1986	204542	455887				
1987	217934	435346				
1988	200755	466612				
1989	225884	485673				
1990	205458	486870				
1991	212927	438926				
1992	185108	449488				
1993	177899	419933				
1994	160319	428758				
1995	200027	416764				
1996	187563	420472				
1997	192256	432013				
1998	185406	428649				
1999	213981	428392				
2000	205029	453717				
2001	215439	431951				
2002	189567	436711				
2003	198527	462509				
2004	243980	559169				
2005	239555	545833				
2006	227512	659265				
2007	259884	684308				
2008	298886	710027				
2009	314033	716309				
2010	303631	767450				
2011	306478	772825				
2012	313411	768496				
2013	322772	783090				
2014	363756	799182				
2015	398179	803617				
2016	406196	811481				
2017	424254	903793
2018	458003	928496
2019	476777	946709
2020	279513	266393
2021	401814	382793
2022	536630	764477
2023	541147	933828
2024	582199	971726
2025	627267	1059022
