	2019	2020	Veränderung in % (rechte Skala)
00:00	148	24	-0.84
01:00	95	11	-0.89
02:00	48	5	-0.90
03:00	54	8	-0.86
04:00	32	8	-0.77
05:00	36	8	-0.79
06:00	50	33	-0.34
07:00	92	29	-0.68
08:00	153	54	-0.65
09:00	240	83	-0.66
10:00	268	115	-0.57
11:00	301	140	-0.54
12:00	328	158	-0.52
13:00	378	202	-0.47
14:00	406	224	-0.45
15:00	444	221	-0.50
16:00	440	225	-0.49
17:00	460	194	-0.58
18:00	425	153	-0.64
19:00	293	99	-0.66
20:00	230	62	-0.73
21:00	190	47	-0.75
22:00	153	32	-0.79
23:00	133	23	-0.83
