"Jahr"	"Männer"	"Frauen"
2008	44	29
2009	42	29
2010	37	23
2011	34	23
2012	39	21
2013	38	28
2014	37	24
2015	37	26
2016	38	27
2017	33	21
2018	36	28
2019	40	32
2020	39	32

