jahr	Leerwohnungsquote in %	Leerwohnungen	Wohnungen
2000	3.473641193297	85	2447
2001	3.107113654946	76	2446
2002	4.666932588751	117	2507
2003	4.304503786369	108	2509
2004	3.629836457917	91	2507
2005	4.427602712405	111	2507
2006	2.724358974358	68	2496
2007	2.286401925391	57	2493
2008	1.728295819935	43	2494
2009	1.974405850009	75	2488
2010	0.745160737737	54	2735
2011	0.657894736842	18	2736
2012	1.162790697674	32	2732
2013	0.436046511627	12	2752
2014	0.250536864710	7	2794
2015	0.438468284127	12	3052
2016	0.416770398237	15	3421
2017	0.460166810468	16	3477
2018	1.046380090497	37	3536
2019	3.546628984126	143	4032
