lat	lon	Name	Anzahl Wohnungen	Anzahl Wohnungen	Adresse
47.54758331	7.616305358	Bethesda Park		62	Gellertstrasse 148, 4052 Basel
47.56441913	7.596383233	Bethesda Wesley Haus		44	Klingentalstrasse 58, 4057 Basel
47.57346745	7.638706438	BSB Wohnen mit Service im Alter - Basler Dybli		28	Gstaltenrainweg 79/81, 4125 Riehen
47.55055119	7.601977765	BSB Wohnen mit Service im Alter - Dalbehof	53		Kapellenstrasse 17, 4052 Basel
47.54786082	7.613623178	BSB Wohnen mit Service im Alter - Gellertfeld		58	Karl Jaspers-Allee 35, 4052 Basel
47.56065147	7.616839386	BSB Wohnen mit Service im Alter - Rankhof		76	Im Rankhof 8 und 10, 4058 Basel
47.5644755	7.564959652	BSB Wohnen mit Service im Alter - Westfeld	17		Im Westfeld 30, 4055 Basel
47.55937122	7.600415577	BSB Wohnen mit Service im Alter - Wettsteinpark		68	Rheinfelderstrasse 35-43, 4058 Basel
47.55993695	7.600560011	BSB Wohnen mit Service im Alter - Wettsteinpark	20		Wettsteinallee 20, 4058 Basel
47.55701633	7.570041471	BSB Wohnen mit Service im Alter - Wibrandishaus 1		100	Allschwilerplatz 9, 4055 Basel
47.55696034	7.571077847	BSB Wohnen mit Service im Alter - Wibrandishaus 2		21	Allschwilerstrasse 73, 4055 Basel
47.56071266	7.593386108	BSB Wohnen mit Service im Alter - Zum Lamm	3		Rebgasse 16, 4058 Basel
47.56685161	7.564436763	Casavita Kannenfeld		24	Burgfelderstrasse 190, 4055 Basel
47.54535803	7.62118528	Casavita Lehenmatt		25	Lehenmattstr. 307/309, Birsstr. 244/246, 4052 Basel
47.56401106	7.597315332	Gustav Benz Haus		16	Drahtzugstrasse 57, 4057 Basel
47.56879326	7.594711125	Gustav Benz Haus		21	Hammerstrasse 161, 4057 Basel
47.55273281	7.586971886	irides		14	Steinengraben 75, 4051 Basel
47.57023803	7.593754365	Marienhaus		14	Markgräflerstrasse 47/49, 4057 Basel
47.56915578	7.599312706	Senevita Erlenmatt	63		Erlenmattstrasse 7, 4057 Basel
47.54448275	7.608830397	Senevita Gellertblick	70		St. Jakobs-Strasse 201, 4052 Basel
47.58368277	7.593069566	St. Christophorus		37	Dorfstrasse 26, Kleinhüningeranlage 29/31, 4057 Basel
47.56869462	7.566964973	Sternenhof: Luzernerring		33	Luzernerring 92, 4056 Basel
47.56880209	7.575034187	Sternenhof: Vogesenstrasse		5	Vogesenstrasse 111, 4056 Basel
47.54572026	7.589008433	Südpark	103		Meret Oppenheim Strasse 62, 4053 Basel
47.54112172	7.619114431	Tertianum	107		St. Jakobs-Strasse 395, 4052 Basel
47.58078731	7.592453501	Wiesendamm		41	Wiesendamm 20/22, 4057 Basel
47.52735032	7.59771192	zum Wasserturm		38	Giornicostrasse 144, 4059 Basel
