JAHR	Innenstadt	Kanton BS
2008	72630	64910
2009	71983	65107
2010	72147	65751
2011	71868	64818
2012	75444	65189
2013	77325	66943
2014	79801	68538
2015	78260	68248
2016	80349	69823
2017	80070	69373
2018	80951	69761
2019	89610	72418
2020	93951	73376
2021	109193	76202
