"Jahr"	"Basel-Neubad (22-23 Uhr)"	"IGW ES II (22-23 Uhr)"	"Basel-Neubad (23-24 Uhr)"	"IGW ES II (23-24 Uhr)"
2012	45.8	55	37.8	50
2013	46	55	36.1	50
2014	46.3	55	41.2	50
2015	48.5	55	42.3	50
2016	47.3	55	44.6	50
2017	48.2	55	43.2	50
2018	48.9	55	44.6	50
2019	50.4	55	46.8	50
2020	45.5	55	41	50
2021	47.5	55	41.4	50
2022	49.3	55	46.7	50
2023	49.4	55	46.6	50
