	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2016	100.00	100.00	100.00	100.00	100.00
2017	106.43	106.44	112.63	106.66	104.80
2018	108.25	113.05	109.77	108.78	110.81
2019	121.37	114.55	110.94	120.32	115.14
2020	127.31	100.28	91.64	123.35	107.04
2021	146.30	101.02	118.47	140.83	123.43
2022	154.56	111.05	141.39	149.80	131.92

