"Wohnviertel"	"2011"	"2015"	"2018"
"Bruderholz"	3.33136126570194	3.29776780692036	3.75864824330442
"Bachletten"	2.72347475718244	2.5976981315489	3.31437973169638
"Vorstädte"	1.72102573921968	2.0202281844195	2.939944611327
"St. Alban"	2.26453232175328	2.27580928508862	2.90498032013121
"Altstadt Grossbasel"	2.25468696224269	2.47857904047131	2.8141666335684
"Wettstein"	1.58684341362328	1.11849794884004	1.85796472922266
"Gotthelf"	1.09709510144547	1.37276171787845	1.73499577546489
"Am Ring"	1.53679956195509	1.47701182698914	1.6242461136483
"Hirzbrunnen"	0.981682318542112	0.827905952843371	0.910599458095407
"Breite"	-0.120514060805273	-0.248269488417709	-0.359396881249451
"Altstadt Kleinbasel"	-0.305581318791996	-0.296398692634423	-0.363378383292552
"Gundeldingen"	-0.561039071436577	-0.338536069166711	-0.642785481145227
"Iselin"	-0.650661246250352	-1.03956065968228	-1.48979225371826
"St. Johann"	-1.47049509156454	-1.63795671362956	-2.01866144802882
"Clara"	-1.74110291927862	-1.60017070998617	-2.30381892688855
"Rosental"	-2.61147506603104	-2.7026918012894	-3.22586686932791
"Matthäus"	-2.97293250198946	-2.61910422957918	-3.30382929430559
"Kleinhüningen"	-3.28886779227002	-3.08065841879899	-3.45736568863981
"Klybeck"	-3.77483237324811	-3.90291311181527	-4.69503038986252
