Jahr	Erleichtert Eingebürgerte	Ordentlich Eingebürgerte	Einbürgerungsziffer (rechte Skala)	Eingebürgerte Total	Ausländer Total
2009	160	1019	19.115715744929	1179	61677
2010	156	711	13.954162106483	867	62132
2011	278	557	13.027537249395	835	64095
2012	214	654	13.246448029057	868	65527
2013	175	871	15.484367598295	1046	67552
2014	232	749	14.263074484945	981	68779
2015	209	961	16.813485277423	1170	69587
2016	214	538	10.620268896170	752	70808
2017	230	1052	17.902527579947	1282	71610
2018	142	949	14.959345134442	1091	72931
