"Migrationsstatus"	"Sekundarstufe I"	"Sekundarstufe II"	"Tertiärstufe"
"Ausländer/-innen"	34989.467262	27912.962176	52400.442859
"Eingebürgerte Schweizer/-innen"	14144.885140	22886.298384	18417.647962
"Schweizer/-innen seit Geburt"	22607.630443	71111.724531	58740.976390

