"Jahr"	"Schweiz (Stadt)"	"Schweiz (Kanton)"	"Deutschland (Stadt)"	"Deutschland (Kanton)"	"Italien (Stadt)"	"Italien (Kanton)"	"Türkei (Stadt)"	"Türkei (Kanton)"	"EU-West + EFTA + UK(Stadt)"	"EU-West + EFTA + UK(Kanton)"	"EU-Ost (Stadt)"	"EU-Ost (Kanton)"	"Balkan (Stadt)"	"Balkan (Kanton)"	"Mittel- und Südamerika (Stadt)"	"Mittel- und Südamerika (Kanton)"	"Arabische Länder (Stadt)"	"Arabische Länder (Kanton)"	"Afrikanische Länder (Stadt)"	"Afrikanische Länder (Kanton)"	"Übrige Länder (Stadt)"	"Übrige Länder (Kanton)"	"Staat unbekannt (Stadt)"	"Staat unbekannt (Kanton)"
"2001"	4.17	""	2.10	""	5.31	""	15.09	""	4.18	""	6.78	""	6.95	""	15.33	""	24.85	""	17.94	""	6.25	""	""	""
"2002"	4.35	""	1.99	""	5.05	""	15.25	""	3.97	""	6.71	""	7.71	""	17.88	""	27.48	""	17.22	""	6.17	""	""	""
"2003"	4.96	""	2.51	""	6.04	""	18.17	""	5.30	""	7.70	""	9.86	""	18.81	""	29.79	""	21.16	""	6.75	""	""	""
"2004"	5.68	""	2.95	""	7.34	""	22.80	""	5.70	""	8.86	""	12.12	""	22.16	""	31.64	""	23.71	""	8.22	""	""	""
"2005"	6.08	""	2.84	""	8.18	""	25.27	""	5.71	""	10.37	""	14.27	""	22.67	""	34.11	""	28.46	""	9.04	""	""	""
"2006"	6.13	""	2.56	""	8.16	""	25.95	""	5.55	""	9.59	""	14.50	""	23.90	""	34.87	""	28.45	""	8.80	""	""	""
"2007"	5.75	""	2.01	""	7.25	""	24.22	""	4.66	""	9.20	""	13.67	""	23.65	""	37.53	""	29.40	""	8.19	""	""	""
"2008"	5.35	""	2.18	""	6.67	""	22.57	""	4.29	""	7.97	""	13.85	""	21.52	""	36.98	""	26.09	""	8.35	""	""	""
"2009"	5.21	""	2.42	""	6.12	""	21.83	""	4.41	""	7.75	""	14.34	""	19.49	""	36.84	""	28.15	""	7.70	""	""	""
"2010"	5.02	""	2.66	""	5.61	""	21.30	""	4.18	""	8.29	""	13.43	""	18.19	""	43.24	""	38.14	""	8.00	""	""	""
"2011"	5.15	""	2.68	""	6.04	""	21.76	""	4.43	""	7.87	""	12.95	""	19.84	""	55.65	""	53.26	""	9.42	""	""	""
"2012"	5.19	""	2.76	""	6.26	""	21.57	""	4.44	""	8.62	""	13.04	""	18.85	""	54.70	""	56.30	""	9.79	""	""	""
"2013"	5.19	""	2.66	""	6.16	""	22.12	""	4.64	""	8.37	""	12.69	""	19.01	""	57.21	""	59.92	""	10.04	""	""	""
"2014"	5.15	""	2.61	""	5.84	""	21.02	""	4.58	""	8.21	""	11.57	""	19.46	""	64.13	""	58.50	""	10.66	""	""	""
"2015"	4.99	""	2.77	""	6.42	""	21.23	""	4.74	""	9.39	""	11.90	""	19.12	""	64.65	""	55.92	""	10.12	""	""	""
"2016"	5.21	""	2.88	""	6.29	""	21.93	""	4.71	""	9.42	""	12.13	""	19.52	""	66.17	""	57.38	""	10.48	""	""	""
"2017"	5.25	4.84	3.16	2.88	6.31	6.05	21.45	21.01	4.72	4.50	10.04	9.45	12.55	12.34	17.45	16.81	66.50	63.16	56.34	54.46	11.07	10.53	""	""
"2018"	""	4.73	""	2.74	""	5.66	""	20.04	""	4.34	""	8.71	""	12.35	""	16.70	""	61.05	""	53.38	""	10.68	""	""
"2019"	""	4.56	""	2.67	""	5.64	""	18.77	""	4.15	""	7.79	""	11.32	""	15.46	""	58.89	""	50.93	""	10.67	""	""
"2020"	""	4.36	""	2.72	""	4.85	""	17.90	""	4.13	""	8.49	""	10.01	""	14.47	""	55.33	""	48.76	""	10.66	""	""
"2021"	""	4.12	""	2.34	""	4.26	""	17.14	""	3.91	""	7.02	""	9.10	""	13.89	""	49.80	""	48.42	""	9.42	""	""

