Wohnviertel,Personenwagen pro Haushalt,Rang
Bettingen,0.186378616,1
Riehen,0.135689973,2
Bruderholz,0.123876124,3
Hirzbrunnen,0.103344069,4
Kleinhüningen,0.101358551,5
St. Alban,0.097395006,6
Bachletten,0.092592593,7
Breite,0.083257697,8
Wettstein,0.08312212,9
Rosental,0.08278124,10
Clara,0.08083122,11
Klybeck,0.079947575,12
Altstadt Grossbasel,0.074035914,13
Am Ring,0.072813121,14
Vorstädte,0.072456606,15
St. Johann,0.069429803,16
Iselin,0.069189953,17
Gotthelf,0.06821866,18
Gundeldingen,0.063121298,19
Matthäus,0.058454003,20
Altstadt Kleinbasel,0.051463039,21
