"CityDescr"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	185139	184214	74804	27007
Bern	189629	133299		
Genf	186456	217868		77236
Lausanne	123531	148005		
Zürich	491835	490688		
