"Jahr"	"Bevölkerung Stadt Basel"
"1774-12-31"	15040
"1815-12-31"	16674
"1835-12-31"	21219
"1837-12-31"	22199
"1847-12-31"	25787
"1850-12-31"	27170
"1860-12-31"	37915
"1870-12-31"	44122
"1880-12-31"	60550
"1888-12-31"	69809
"1900-12-31"	109161
"1910-12-31"	132276
"1920-12-31"	135976
"1930-12-31"	148063
"1941-12-31"	162105
"1950-12-31"	183543
"1960-12-31"	206746
"1970-12-31"	213902
"1971-12-31"	209948
"1972-12-31"	207297
"1973-12-31"	204642
"1974-12-31"	201039
"1975-12-31"	197809
"1976-12-31"	193806
"1977-12-31"	190474
"1978-12-31"	187984
"1979-12-31"	185980
"1980-12-31"	184490
"1981-12-31"	182944
"1982-12-31"	181967
"1983-12-31"	181373
"1984-12-31"	180703
"1985-12-31"	180290
"1986-12-31"	177985
"1987-12-31"	176843
"1988-12-31"	175233
"1989-12-31"	174679
"1990-12-31"	175257
"1991-12-31"	176902
"1992-12-31"	177181
"1993-12-31"	177835
"1994-12-31"	177106
"1995-12-31"	175855
"1996-12-31"	174350
"1997-12-31"	172235
"1998-12-31"	170242
"1999-12-31"	168294
"2000-12-31"	166848
"2001-12-31"	165548
"2002-12-31"	166120
"2003-12-31"	166286
"2004-12-31"	166646
"2005-12-31"	166203
"2006-12-31"	165968
"2007-12-31"	166217
"2008-12-31"	167763
"2009-12-31"	169037
"2010-12-31"	168804
"2011-12-31"	170331
"2012-12-31"	171428
"2013-12-31"	173330
"2014-12-31"	174286
"2015-12-31"	175131
"2016-12-31"	176015
"2017-12-31"	176461
"2018-12-31"	177595
"2019-12-31"	177784
"2020-12-31"	179085
"2021-12-31"	178689
"2022-12-31"	180976
"2023-12-31"	182434
"2024-12-31"	183564

