"Jahr"	"Tonnen"	"Tonnen pro Einwohner (rechte Skala)"	"Zielpfad bis 2050, Tonnen pro Einwohner (rechte Skala)"
2010	910689.41	4.74	4.74
2011			4.65
2012	833145.69	4.32	4.56
2013			4.46
2014	764522.47	3.9	4.37
2015			4.27
2016	741614.44	3.75	4.18
2017			4.08
2018	701241.46	3.51	3.99
2019			3.89
2020			3.8
2021			3.7
