Jahr	AOX	AOX-Grenzwert
2004	9.216667E-02	0.08
2005	0.06425	0.08
2006	5.583333E-02	0.08
2007	0.04825	0.08
2008	4.116667E-02	0.08
2009	5.558333E-02	0.08
2010	0.04975	0.08
2011	5.708333E-02	0.08
2012	4.233333E-02	0.08
2013	4.258334E-02	0.08
2014	4.960791E-02	0.08
2015	0.042	0.08
2016	0.046	0.08
2017	0.035	0.08
