""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2013-01"	1702	303
"2013-02"	1969	514
"2013-03"	2139	662
"2013-04"	2016	439
"2014-01"	1951	330
"2014-02"	2190	532
"2014-03"	2243	784
"2014-04"	2043	333
"2015-01"	1999	298
"2015-02"	2162	394
"2015-03"	2225	603
"2015-04"	1907	244
"2016-01"	1866	212
"2016-02"	2132	326
"2016-03"	2201	430
"2016-04"	2026	272
"2017-01"	1805	189
"2017-02"	2042	437
"2017-03"	2174	543
"2017-04"	2090	340
"2018-01"	1902	253
"2018-02"	2073	419
"2018-03"	2099	558
"2018-04"	1783	340
"2019-01"	1701	258
"2019-02"	1905	357
"2019-03"	2164	523
"2019-04"	1993	342
"2020-01"	1873	264
"2020-02"	1904	367
"2020-03"	1888	495
"2020-04"	1794	376
"2021-01"	1963	227
"2021-02"	1947	327
"2021-03"	1994	596
"2021-04"	1970	385
"2022-01"	1921	299
"2022-02"	1926	426
"2022-03"	1976	587
"2022-04"	1914	397

