"Jahr"	"Stickstoffoxid"	"Feinstaub (PM10)"	"Flüchtige organische Verbindungen"	"Ammoniak"	"Feinstaub (PM2.5)"
2015	20.69	35.71	13.89	36.19	
2020	13.04	20.59	-6.9	32.08	6.25
