"Jahr"	"Hochwasser"	"Category"
1933	0	0
1934	0	1
1935	33.3	2
1936	33.3	3
1937	0	4
1938	33.3	5
1939	0	6
1940	33.3	7
1941	0	8
1942	0	9
1943	0	10
1944	33.3	11
1945	0	12
1946	33.3	13
1947	0	14
1948	33.3	15
1949	0	16
1950	0	17
1951	0	18
1952	0	19
1953	33.3	20
1954	0	21
1955	0	22
1956	0	23
1957	33.3	24
1958	0	25
1959	0	26
1960	0	27
1961	0	28
1962	0	29
1963	0	30
1964	0	31
1965	0	32
1966	0	33
1967	0	34
1968	33.3	35
1969	0	36
1970	0	37
1971	0	38
1972	33.3	39
1973	33.3	40
1974	0	41
1975	0	42
1976	0	43
1977	33.3	44
1978	66.7	45
1979	0	46
1980	0	47
1981	0	48
1982	33.3	49
1983	0	50
1984	0	51
1985	0	52
1986	0	53
1987	0	54
1988	0	55
1989	0	56
1990	33.3	57
1991	0	58
1992	0	59
1993	0	60
1994	33.3	61
1995	66.7	62
1996	0	63
1997	0	64
1998	0	65
1999	33.3	66
2000	0	67
2001	0	68
2002	0	69
2003	0	70
2004	0	71
2005	0	72
2006	33.3	73
2007	66.7	74
2008	0	75
2009	0	76
2010	0	77
2011	0	78
2012	0	79
2013	33.3	80
2014	0	81
2015	0	82
2016	0	83
2017	33.3	84
2018	0	85
2019	0	86
2020	0	87
2021	0	88
2022	0	89
