""	"Schlachten, Fleischverarbeitung"	"Fischverarbeitung"	"Herstellung pflanzliche u. tierische Öle u. Fette"	"Milchverarbeitung"	"Herstellung Back- und Teigwaren"	"Herstellung sonst. Nahrungsmittel"	"Herstellung Futtermittel"
2011	1387.4	100.3	""	0.7	322.0	220.4	""
2012	1375.4	111.2	""	1.8	320.9	192.4	1.0
2013	1403.5	103.3	0.1	2.0	306.6	197.4	1.0
2014	1338.7	108.6	""	1.0	265.5	228.3	0.3
2015	1287.5	108.1	""	0.8	351.1	232.7	0.6
2016	1298.7	112.5	""	1.9	339.3	246.6	0.6
2017	1332.6	112.1	""	2.8	362.1	252.1	2.2
2018	1284.4	125.8	""	2.7	315.9	237.8	0.3

