	1755 - 1780	1781 - 1810	1811 - 1840	1841 - 1870	1871 - 1900	1901 - 1930	1931 - 1960	1961 - 1990	1991 - 2020
Jan	0	1.5	0.2	1.2	1.1	2.3	2	2.6	4.2
Feb	0	0.3	0.5	0.3	0.6	0.6	0.5	1.5	2.4
Mär	0	-0.4	0.1	-0.2	0.4	0.9	1.4	1.6	3
Apr	0	0	-0.3	0	-0.3	-0.5	0.4	0.2	1.8
Mai	0	0.3	-0.2	-0.2	-1.1	-0.1	0.1	-0.1	1.2
Jun	0	-0.6	-0.6	-0.1	-0.4	-0.7	0.1	-0.2	1.5
Jul	0	-0.1	-0.4	0	-0.1	-0.2	0.4	0.6	2
Aug	0	0.2	-0.7	-0.5	-0.5	-0.7	0.2	0.2	1.9
Sep	0	0	-0.6	-0.3	-0.2	-0.3	0.6	0.9	1.3
Okt	0	0	0	0.3	-0.2	0.4	0.6	1.6	2.3
Nov	0	-0.1	0.1	-0.3	0.4	0.1	1	1.2	2.3
Dez	0	0.2	0.4	-0.1	-0.3	1.6	1	1.6	2.9
