jahr	PV-Beziehende (inkl. SH/EL)	Anteil PV-Beziehende an der Wohnbevölkerung (rechte Skala)	PV_rein	PV_EL	PV_SH	Bevölkerung
2005	52422	27.8959131545338	27546	10912	13964	187920
2006	52177	27.7844636619238	26045	12144	13988	187792
2007	50528	26.8765957446809	24848	12933	12747	188000
2008	49684	26.2107240076811	24566	13254	11864	189556
2009	51915	27.2069805832875	26851	13510	11554	190815
2010	51485	26.9838940455663	26745	13583	11157	190799
2011	52341	27.2178425825776	27011	13939	11391	192304
2012	53403	27.6042985852299	27601	14267	11535	193459
2013	54294	27.7776925084033	27977	14506	11811	195459
2014	50302	25.602760712777	27194	14567	8541	196471
2015	50633	25.6754426887893	26959	14696	8978	197204
2016	51229	25.8463416849137	27228	14881	9120	198206
2017	51887	26.07544173518	27401	15232	9254	198988
2018	50986	25.4604106743368	26977	15141	8868	200256

