	Städte	Durchschnitt Schweiz	Durchschnitt weltweit
Basel	44.9	30.4	25
Genf	53.3	30.4	25
Zürich	48.9	30.4	25
Lugano	42.9	30.4	25
Lausanne	40.7	30.4	25
Bern	28.9	30.4	25
