Jahr	Sehr sicher	Eher sicher	Eher unsicher	Ganz unsicher	Trifft auf mich nicht zu	Weiss nicht	Keine Angabe
2003	827	577	79	9	0	5	0
2005	845	584	70	10	0	1	0
2007	756	668	75	7	0	3	0
2011	746.44897	666.5083	89.76103	12.53127		0.75042	
2015	710.4358	671.63677	111.3914	9.93355		2.60248	
2019	1324	687.38099	54.63405	21.38357	0.66654	3.22285	17.1479
2023	928.34796	909.34214	74.55047	22.8952	0.72902	4.46695	113.66826
