Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Männer	Frauen	Total
2003	36.1	41.3	42.4	28.6	31.8	30.5	45.1	46.0	39.4	34.7	36.8
2005	28.7	36.1	43.7	24.6	25.1	22.9	26.8	40.3	31.3	28.5	29.7
2007	34.0	37.7	43.7	34.7	28.3	29.2	28.7	44.7	36.5	32.8	34.5
2011	43.5	46.8	45.6	37.7	40.3	41.2	37.6	56.9	46.7	41.8	44.0
2015	43.9	57.0	43.2	46.7	39.5	44.9	42.8	50.6	49.5	41.9	45.4
2019	42.3	52.4	45.8	36.6	42.1	45.2	43.7	52.5	48.8	41.4	44.5
