"Jahr"	"Ohne Kaderfunktion"	"Unteres Fachkader"	"Unteres Kader"	"Mittleres Fachkader"	"Mittleres Kader"	"Oberes Kader"	"Total"
"2005"	4035	71	145	61	143	124	4579
"2006"	3910	69	132	67	154	126	4458
"2007"	3846	70	135	63	141	133	4388
"2008"	3846	68	125	61	135	132	4367
"2009"	4091	70	153	83	105	130	4632
"2010"	3975	62	159	70	113	126	4505
"2011"	4018	65	150	68	120	131	4552
"2012"	4056	62	155	74	176	130	4653
"2013"	3850	74	147	79	188	124	4462
"2014"	3820	71	147	79	201	118	4436
"2015"	3793	69	168	95	212	117	4454
"2016"	3874	68	178	92	194	113	4519
"2017"	3842	67	183	101	196	122	4511
"2018"	3893	69	174	102	201	118	4557
"2019"	3973	70	164	104	207	115	4633
"2020"	4032	68	176	109	192	117	4694
"2021"	4109	67	182	110	189	109	4766
"2022"	4110	68	175	115	187	108	4763
"2023"	4240	66	189	119	188	102	4904
"2024"	4356	64	213	117	191	105	5046
