Jahr	Umbausaldo	total Umnutzungen zu Wohnungen	Sonstige<br/>Umnutzungen	(Dachstock-)<br/>Ausbauten	Zweckentfrem<br/>dungen von<br/>Wohnungen	Saldo aus<br/>Zusammenlegungen/<br/>Aufteilungen
2008	-28	33	22	19	-16	-64
2009	-18	36	2	6	-10	-51
2010	-18	25	18	40	-19	-64
2011	18	17	0	37	-14	-22
2012	28	44	10	21	-7	-30
2013	35	35	32	32	-6	-26
2014	180	141	31	72	-8	-25
2015	25	16	9	63	-37	-17
2016	106	59	33	56	-8	-1
