"Herkunft"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"Schweizer/-innen seit Geburt"	38180.049928	924.274033
"Eingebürgerte Schweizer/-innen"	15645.704111	826.894433
"Ausländer/-innen"	29592.686889	10474.565622

