"Jahr"	"Rindviehbestand"	"Category"
1975	428	1975
1980	460	1980
1985	396	1985
1990	462	1990
1996	403	1996
1997	414	1997
1998	423	1998
1999	432	1999
2000	406	2000
2001	397	2001
2002	413	2002
2003	371	2003
2004	397	2004
2005	394	2005
2006	341	2006
2007	345	2007
2008	342	2008
2009	372	2009
2010	388	2010
2011	354	2011
2012	332	2012
2013	336	2013
2014	315	2014
2015	332	2015
2016	319	2016
2017	314	2017
2018	283	2018
2019	320	2019
2020	332	2020
2021	318	2021
2022	292	2022
2023	297	2023
