Jahr	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
2003										
2003: Ausland	20	17	78	48	21	15	3	2	0	0
2003: Schweiz	100	87	498	303	123	122	20	12	3	5
2005										
2005: Ausland	16	35	69	50	8	23	3	1	1	1
2005: Schweiz	86	115	477	313	135	117	27	16	3	4
2007										
2007: Ausland	18	19	71	38	12	12	3	3	0	0
2007: Schweiz	87	141	500	334	118	102	23	10	4	5
2011										
2011: Ausland	32	30	86	46	9	8	3	0	0	0
2011: Schweiz	171	138	496	281	84	88	17	13	4	7
2015										
2015: Ausland	26	33	66	30	7	9	1	0	0	1
2015: Schweiz	147	190	524	251	86	84	15	14	2	3
2019										
2019: Ausland	85	97	154	64	15	17	2	3	2	0
2019: Schweiz	224	335	562	253	81	68	26	21	8	7
