"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	23.83	38.17	23.65	16.15	15.88
Bern	18.49	24.54	15.66		
Genf	32.17	48.27	34.63		19.52
Lausanne	34.24	42.31	30.38		
Zürich	28.27	32.41	26.51		
