JAHR	Messe	Erlenmatt
2005	14	
2006	20	
2007	18	
2009	17	
2010	14	
2011	16	
2013	10	
2014	12	
2015	13	
2016	11	
2017	12	
2018	15	
2019	16	
2020	13	1
2021	12	1
2022	15	1
2023	15	1
