Jahr	Saldo in Mio. Franken
2002	-9.7
2003	-12.4
2004	-13
2005	-13.1
2006	-4.3
2007	-1.1
2008	-2.5
2009	4.6
2010	10.7
2011	4.8
2012	13.2
2013	12.1
2014	4.1
2015	2.8
2016	6.4
2017	5.9
2018	12.4
2019	6.1
2020	4.7
