"Jahr"	"Stromverbrauch Friedmatt"	"Stromverbrauch Kannenfeld"	"Stromverbrauch Landskron"	"Stromverbrauch Lysbüchel"	"Stromverbrauch Pestalozzi"
2010	48.879496	4.094429	14.274184	17.618352	7.7497
2012	45.526669	3.971273	13.529241	46.2781	7.534004
2014	45.543815	3.735483	12.93728	43.764027	7.992856
2016	49.603041	3.670181	12.725933	50.761581	7.921633
2018	47.092863	3.58165	12.578078	37.896438	7.867822
2020	47.123719	3.56853	12.52035	37.248353	7.867822
2022	53.242351	3.150024	11.461258	35.413446	7.260452
