	Altstadt GB	Vorstädte 	Am Ring 	Breite 	St. Alban 	Gundeldingen 	Bruderholz 	Bachletten 	Gotthelf 	Iselin 	St. Johann 	Altstadt KB	Clara 	Wettstein 	Hirzbrunnen 	Rosental 	Matthäus 	Klybeck 	Kleinhüning. 	Riehen 	Bettingen
Quellensteuerertrag 2013	5750706	12066147	17891441	8182039	24932935	18521856	9849063	9414036	6691078	12719482	21161657	3126115	3722109	6183758	3471288	7454187	22047284	3749543	1859652	19232967	962515
Quellensteuerertrag 2022	15959934	14402858	29685796	11979462	34255870	32485203	13270083	16263461	8920077	15557728	24016765	5075720	7899075	13174216	5853300	18780046	24124786	5012317	1619205	24553734	671606
Veranlagungen 2013 (rechte Skala)	272	770	1585	868	1057	2249	508	801	663	1776	2784	364	557	575	466	886	2634	888	313	1178	106
Veranlagungen 2022 (rechte Skala)	374	834	1988	1059	1234	2604	519	993	739	2099	2711	435	807	754	550	1657	3012	1144	374	1475	82
