"Jahr"	"St. Johann"	"St. Johann 95% Konfidenzintervall Untergrenze"	"St. Johann 95% Konfidenzintervall Obergrenze"	"Basel"	"Basel 95% Konfidenzintervall Untergrenze"	"Basel 95% Konfidenzintervall Obergrenze"
1990	0.69011	"."	"."	0.63130	"."	"."
2000	0.72723	"."	"."	0.72436	"."	"."
"2018-2022"	0.72296	0.69369	0.75223	0.74009	0.73058	0.74960

