"Jahr"	"Ozonschichtabbauende Stoffe in Kälteanlagen"
2005	8314
2006	29200
2007	37160
2008	37074
2009	35320
2010	34787
2011	33269
2012	31773
2013	30042
2014	24167
2015	21693
2016	21513
2017	20961
2018	20565
2019	20298
2020	18715
2021	18309
2022	17673
