Jahr	Anzahl Mietverhältnisse	Durchschnittsbeitrag in Franken (rechte Skala)
2013	1696	4768
2014	1861	4790
2015	1974	4826
2016	2129	4750
2017	2228	4811
2018	2248	4975
2019	2281	5114
2020	2300	5136
2021	2251	5201
2022	2178	5198
2023	2190	5435
2024	2099	5743
