"Jahr"	"Nettoerwerbsquote Frauen"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
1990	0.66879	"."	"."
2000	0.72466	"."	"."
"2013-2017"	0.75140	0.7011	0.8017

