Jahr	Tagesferien Stadt Basel	Tagesferien Riehen/Bettingen	Ferienbetreuung
2014	1738	153	
2015	1843	220	
2016	1899	179	
2017	2332	169	
2018	2572	175	
2019	2618	214	
2020	2061	183	556
2021	2761	251	755
2022	3037	220	897
2023	3104	252	1111
