"Jahr"	"Hafen Kleinhünigen und Bahnhof St. Johann"	"Zielwert"
2012	34	0
2013	194	0
2014	36	0
2015	9	0
2016	25	0
2017	68	0
2018	30	0
2019	40	0
2020	57	0
2021	33	0
2022	42	0
2023	30	0
