Alter gedeckelt	Frauen	Männer
0	4.84	5.07
1	3.91	3.69
2	4.44	3.56
3	4.35	4.34
4	4.90	3.35
5	4.14	3.79
6	5.75	3.35
7	3.63	3.78
8	4.88	5.58
9	8.60	5.17
10	3.84	4.30
11	6.34	4.55
12	10.14	4.73
13	8.35	4.32
14	8.98	7.51
15	8.69	5.31
16	8.00	7.63
17	7.76	4.30
18	4.29	4.20
19	5.49	5.39
20	3.81	4.03
21	4.19	4.34
22	4.32	4.17
23	4.01	4.37
24	3.97	6.06
25	4.88	5.00
26	4.34	5.55
27	4.85	4.95
28	4.70	5.09
29	4.71	4.29
30	4.59	5.54
31	4.74	5.19
32	4.63	4.38
33	4.64	4.83
34	4.49	5.55
35	4.78	6.13
36	4.93	6.10
37	4.88	5.64
38	4.74	5.14
39	4.94	5.56
40	5.35	4.97
41	5.18	5.00
42	4.72	4.84
43	5.24	5.31
44	4.95	5.30
45	4.94	5.55
46	5.45	5.77
47	5.18	5.93
48	5.04	6.25
49	5.89	6.13
50	7.07	6.12
51	6.43	6.93
52	5.40	6.33
53	6.16	7.03
54	6.44	7.48
55	6.95	6.37
56	6.71	6.94
57	5.53	6.65
58	6.35	7.33
59	7.00	6.90
60	6.96	6.51
61	6.63	6.65
62	6.68	6.80
63	7.07	6.67
64	7.29	7.59
65	6.56	7.61
66	7.49	7.05
67	7.24	7.17
68	7.49	7.25
69	7.18	7.26
70	7.46	7.54
71	7.15	7.37
72	7.65	8.25
73	7.89	7.77
74	7.54	7.31
75	7.54	7.55
76	7.82	7.67
77	7.80	7.87
78	8.69	7.81
79	7.81	7.66
80	7.71	7.31
81	8.03	7.77
82	7.91	8.11
83	8.08	8.80
84	8.33	8.26
85	8.17	8.79
86	8.34	8.73
87	8.94	7.93
88	8.80	8.33
89	8.75	8.17
90	8.63	8.83
91	8.72	7.97
92	8.91	8.13
93	9.05	8.52
94	8.77	8.28
95	8.19	7.27
96	9.06	8.16
97	8.23	7.93
98	9.48	5.83
99	8.67	6.78
100	9.61	5.50
