Alter	 Schweiz	 Ausland
18-19	1.2	0.7
20-24	1.9	1.1
25-29	2.1	0.9
30-34	3.5	1.0
35-39	5.7	1.3
40-44	6.9	2.6
45-49	10.1	4.5
50-54	11.9	8.0
55-59	14.8	14.8
60-64	17.4	23.5
