Jahr	2016	2017	2018	2019	2020	2021	2022	2023	2024
Güteklasse A	128051	127410	128139	128198	129086	129354	132811	134315	136925
Güteklasse B	61401	62854	63371	63366	63443	63429	61950	62403	62317
Güteklasse C	7195	7118	7158	7290	7349	7420	8109	8208	7161
Güteklasse D	603	642	624	629	626	674	711	690	459
Güteklasse E	168	166	158	152	158	184	194	195	133
Keine Güteklasse	0	0	5	41	5	6	4	4	4
