"Wohnviertel_ID"	Wohnviertel	Mittelwert Gesamtsteuerertrag	Gesamtsteuerertrag	 Einkommenssteuer	 Vermögenssteuer
1	Altstadt Grossbasel	22172	37138088	27901106	9236982
2	Vorstädte	22571	67689183	49197631	18491552
3	Am Ring	13376	83454761	70596565	12858196
4	Breite	7801	42882300	40062655	2819645
5	St. Alban	21972	141474903	104234098	37240805
6	Gundeldingen	7789	89896864	83517575	6379289
7	Bruderholz	37765	188296828	98192822	90104006
8	Bachletten	13272	107663013	92431802	15231211
9	Gotthelf	9610	40275144	36241772	4033372
10	Iselin	6765	65881009	61515633	4365376
11	St. Johann	7094	77282792	71727742	5555050
12	Altstadt Kleinbasel	9860	15657079	13872898	1784181
13	Clara	6635	16177276	14938272	1239004
14	Wettstein	12101	41807429	37215879	4591550
15	Hirzbrunnen	8263	43705051	39814503	3890548
16	Rosental	6655	21017570	20215000	802570
17	Matthäus	6805	61597864	57148208	4449656
18	Klybeck	4648	19024020	18263130	760890
19	Kleinhüningen	5115	8230776	7897937	332839
20	Riehen	16505	157895965	194062519	36166554
30	Bettingen	40000	21976748	12223809	9752939
