""	"Englisch"	"Englisch 95% Konfidenzintervall Untergrenze"	"Englisch 95% Konfidenzintervall Obergrenze"	"Italienisch"	"Italienisch 95% Konfidenzintervall Untergrenze"	"Italienisch 95% Konfidenzintervall Obergrenze"	"Französisch"	"Französisch 95% Konfidenzintervall Untergrenze"	"Französisch 95% Konfidenzintervall Obergrenze"	"Türkisch"	"Türkisch 95% Konfidenzintervall Untergrenze"	"Türkisch 95% Konfidenzintervall Obergrenze"	"Serbisch, Kroatisch"	"Serbisch, Kroatisch 95% Konfidenzintervall Untergrenze"	"Serbisch, Kroatisch 95% Konfidenzintervall Obergrenze"	"Spanisch"	"Spanisch 95% Konfidenzintervall Untergrenze"	"Spanisch 95% Konfidenzintervall Obergrenze"	"Albanisch"	"Albanisch 95% Konfidenzintervall Untergrenze"	"Albanisch 95% Konfidenzintervall Obergrenze"	"Portugiesisch"	"Portugiesisch 95% Konfidenzintervall Untergrenze"	"Portugiesisch 95% Konfidenzintervall Obergrenze"
"2010-2012"	7.7	7.2	8.1	6.3	5.9	6.7	5.6	5.2	6.0	4.3	4.0	4.7	3.4	3.1	3.7	3.0	2.8	3.3	2.9	2.6	3.2	1.8	1.6	2.0
"2013-2015"	9.4	8.9	9.9	6.2	5.8	6.5	5.2	4.9	5.6	4.2	3.8	4.5	3.6	3.3	3.9	3.3	3.0	3.6	2.8	2.5	3.1	2.0	1.8	2.2
"2016-2018"	10.9	10.4	11.4	6.2	5.8	6.6	5.3	5.0	5.7	4.0	3.7	4.4	3.1	2.8	3.4	3.6	3.3	3.9	2.9	2.6	3.2	2.4	2.2	2.7
"2019-2021"	12.1	11.5	12.6	5.8	5.5	6.2	5.2	4.8	5.5	4.0	3.6	4.3	3.1	2.8	3.4	3.9	3.6	4.2	3.0	2.7	3.3	2.3	2.0	2.5

