""	"Basel (bis 2017)"	"Basel"	"Riehen"	"Bettingen"	"Kanton Basel-Stadt (bis 2017)"	"Kanton Basel-Stadt"
"2013"	7.1		3.4	1.5	6.7	
"2014"	7.1		3.3	1.5	6.6	
"2015"	7.1		3.4	1.3	6.7	
"2016"	7.3		3.5	1.3	6.9	
"2017"	7.4	6.7	3.7	1.6	7.0	6.3
"2018"		6.5	3.7	1.5		6.2
"2019"		6.3	3.4	1.9		6.0
"2020"		6.1	3.3	1.5		5.8
"2021"		5.7	3.1	1.1		5.4
"2022"		5.3	2.7	1.7		5.0
"2023"		5.1	2.5	2.4		4.8

