Jahr	Wohnviertel Rosental	Bezirk Messe	Bezirk Erlenmatt
2013	33.572050	32.929550	38.482815
2014	33.367339	32.715637	38.375206
2015	34.085478	32.795601	38.292545
2016	33.677971	32.333615	37.404929
2017	33.579200	32.494609	36.352260
2018	33.602657	32.862269	35.289280
2019	34.513466	33.629741	36.049534
2020	34.252215	33.733725	35.085754
2021	34.681738	34.237917	35.394356
2022	34.400294	33.946168	35.130541
2023	35.356314	34.448117	36.815049
