"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	52518	""	""	""
"1986"	51776	""	""	""
"1987"	51531	""	""	""
"1988"	51408	""	""	""
"1989"	51239	""	""	""
"1990"	51762	""	""	""
"1991"	52361	""	""	""
"1992"	52453	""	""	""
"1993"	52778	""	""	""
"1994"	52504	""	""	""
"1995"	52253	""	""	""
"1996"	52041	""	""	""
"1997"	51311	""	""	""
"1998"	50577	""	""	""
"1999"	50015	""	""	""
"2000"	49449	""	""	""
"2001"	49206	""	""	""
"2002"	49864	""	""	""
"2003"	50020	""	""	""
"2004"	50124	""	""	""
"2005"	49975	""	""	""
"2006"	49944	""	""	""
"2007"	49884	""	""	""
"2008"	50631	""	""	""
"2009"	51012	""	""	""
"2010"	50784	""	""	""
"2011"	51355	""	""	""
"2012"	51747	""	""	""
"2013"	52345	""	""	""
"2014"	52848	""	""	""
"2015"	53601	""	""	""
"2016"	53974	""	""	""
"2017"	53967	""	""	""
"2018"	54166	""	""	""
"2019"	54330	""	""	""
"2020"	""	55113	54748	54238
"2021"	""	56057	55235	54133
"2022"	""	57142	55773	54024
"2023"	""	58355	56343	53906
"2024"	""	59695	56933	53781
"2025"	""	61159	57535	53653
"2026"	""	62734	58145	53527
"2027"	""	64387	58754	53406
"2028"	""	66073	59354	53290
"2029"	""	67742	59935	53178
"2030"	""	69353	60489	53068
"2031"	""	70880	61016	52956
"2032"	""	72322	61517	52840
"2033"	""	73701	62002	52718
"2034"	""	75050	62483	52591
"2035"	""	76407	62973	52457
"2036"	""	77804	63479	52319
"2037"	""	79261	64009	52176
"2038"	""	80790	64565	52029
"2039"	""	82395	65148	51880
"2040"	""	84075	65756	51729

