"jahr"	"Heizöl"	"Erdgas"	"Kehricht, Klärschlamm, Industrieabfall"	"Elektrizität"	"Holz"	"Umweltwärme"	"Import"	"Anteil am Bruttoenergieverbrauch (rechte Skala)"
2010	46.34213402	585.5576216	655.80707	0	116.2389	7.7284	0	21.795550128
2012	35.70322345	461.9922698	677.38657765	0	120.1248	12.8	0	22.541868843
2014	41.27947025	335.95787634	676.04037765	4.82794233	142.5041271	13.789218	0	21.466274247
2016	44.565298	417.47090613	703.316412	5.89472617	170.645088	19.591119	5.373957	24.34060824
2018	57.322184	569.25715478	697.12229144	4.209148	158.79761322	23.721093	4.345729	26.743069296
2020	56.08344672	503.42668568	669.79731189	3.655	248.083201	17.811805	5.043015	28.842941138
