Wohnviertel Name	2012	2016
Altstadt GB	55.9	53.608292682926
Vorstädte	51.5	49.782854747432
Am Ring	47.8	46.070146818923
Breite	39.1	38.894604767879
St. Alban	50.8	49.276141940354
Gundeldingen	38.9	38.581193803488
Bruderholz	50.6	49.012147984538
Bachletten	47.8	46.661074076848
Gotthelf	42.6	41.631672597864
Iselin	37.8	36.696560494126
St. Johann	36.7	36.407339449541
Altstadt KB	45.1	42.812662619254
Clara	37.3	36.921764242583
Wettstein	46.1	45.582391542107
Hirzbrunnen	39.7	39.331059522499
Rosental	33.7	33.677971375233
Matthäus	35.1	34.715461266473
Klybeck	31.6	31.775279309857
Kleinhüningen	33.4	32.593659942363
Riehen	47.7	47.592816119926
Bettingen	51.5	52.380952380952
