wohnviertel_id	Wohnfläche pro Kopf	Rang	wohnviertel	jahr_num
18	31.680970411	1	Klybeck	2017
19	32.477628228	2	Kleinhüningen	2017
16	33.579200248	3	Rosental	2017
17	34.833732445	4	Matthäus	2017
11	36.186283285	5	St. Johann	2017
10	36.325632892	6	Iselin	2017
13	36.433815926	7	Clara	2017
6	38.358770363	8	Gundeldingen	2017
4	38.929061785	9	Breite	2017
15	38.967116725	10	Hirzbrunnen	2017
9	41.130126881	11	Gotthelf	2017
12	42.151075977	12	Altstadt Kleinbasel	2017
3	45.562575574	13	Am Ring	2017
14	45.690524754	14	Wettstein	2017
8	46.408682635	15	Bachletten	2017
20	47.494001816	16	Riehen	2017
7	48.67246313	17	Bruderholz	2017
5	48.696245096	18	St. Alban	2017
2	49.710686542	19	Vorstädte	2017
1	52.670028818	20	Altstadt Grossbasel	2017
30	52.716153128	21	Bettingen	2017
