"Kaderstufe"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arab. Länder"	"Afrikan. Länder"	"Übrige Länder"
"Oberes Kader"	176	8	1	0	2	0	0	0	0	0	0
"Mittleres Kader"	438	45	2	0	9	1	0	2	0	0	0
"Mittleres Fachkader"	310	29	1	0	5	0	0	1	0	0	0
"Unteres Kader"	740	84	12	0	17	2	5	0	1	0	1
"Unteres Fachkader"	137	25	1	0	1	0	0	0	0	0	0

