JAHR	Familienmietzinsbeiträge	Prämienverbilligung
2011	1.6	17.9
2012	2.6	17.8
2013	3.3	19.3
2014	3.6	19.2
2015	3.4	16.4
2016	3.3	17.3
2017	3.1	17.0
2018	3.3	17.4
2019	3.3	19.3
2020	3.5	19.5
2021	3.3	20.2
2022	3.5	19.5
2023	3.6	18.3
