Jahr	Klybeck	Kleinhüningen	Stadt Basel
2004	21.1	28.3	31.4
2005	21.2	27.1	31.3
2006	21.3	26.9	31.2
2007	21.4	28.5	31.1
2008	20.8	29.0	30.7
2009	20.6	27.6	30.3
2010	20.7	28.9	30.2
2011	20.5	29.4	29.9
2012	20.4	28.0	29.6
2013	20.9	27.8	29.3
2014	20.6	28.0	29.2
2015	20.1	28.2	29.1
2016	20.6	28.1	28.9
2017	20.3	28.5	28.8
2018	20.9	29.4	28.6
2019	21.4	29.9	28.6
2020	22.1	30.0	28.3
2021	22.4	31.9	28.5
2022	21.9	30.5	28.3
2023	22.3	31.7	28.3
2024	22.4	33.6	28.3
